Material_Name,Embodied_Carbon_kgCO2e_kg,Data_Source
"concrete block, high density solid, average strength, per kg",0.08524137318131832,ICE Database V5.0 (Circular Ecology)
AAC concrete block,0.28,ICE Database V5.0 (Circular Ecology)
"75 mm thickness, 440 mm length, 215 mm width.",0.8524137318131831,ICE Database V5.0 (Circular Ecology)
"90 mm thickness, 440 mm length, 215 mm width.",0.9802757915851606,ICE Database V5.0 (Circular Ecology)
"100 mm thickness, 440 mm length, 215 mm width.",1.1763309499021928,ICE Database V5.0 (Circular Ecology)
"140 mm thickness, 440 mm length, 215 mm width.",1.6451585023994435,ICE Database V5.0 (Circular Ecology)
"190 mm thickness, 440 mm length, 215 mm width.",2.0884136429422986,ICE Database V5.0 (Circular Ecology)
"215 mm thickness, 440 mm length, 215 mm width.",3.452275613843392,ICE Database V5.0 (Circular Ecology)
"150 mm thickness, 440 mm length, 215 mm width.",2.3839200000000007,ICE Database V5.0 (Circular Ecology)
75 mm thickness wall,10.106938736297298,ICE Database V5.0 (Circular Ecology)
90 mm thickness wall,11.702119617650167,ICE Database V5.0 (Circular Ecology)
100 mm thickness wall,13.873711389909218,ICE Database V5.0 (Circular Ecology)
140 mm thickness wall,19.406147671236642,ICE Database V5.0 (Circular Ecology)
190 mm thickness wall,24.893900022108838,ICE Database V5.0 (Circular Ecology)
215 mm thickness wall,39.06012020384159,ICE Database V5.0 (Circular Ecology)
150 mm thickness wall,27.004802836330942,ICE Database V5.0 (Circular Ecology)
"Glass, General, per kg",1.4369670638496768,ICE Database V5.0 (Circular Ecology)
"Glass, Glazing, Double, per kg",1.6256000138901547,ICE Database V5.0 (Circular Ecology)
"Glass, Glazing triple, per kg",1.7469909686401202,ICE Database V5.0 (Circular Ecology)
"Glass, Toughened, per kg",1.667229702162383,ICE Database V5.0 (Circular Ecology)
"Glass, Multi layer safety, filled core, fire resistant, toughened, per kg",2.081791236308043,ICE Database V5.0 (Circular Ecology)
"Glass, Multi layer safety, unfilled, per kg",1.5555155035203816,ICE Database V5.0 (Circular Ecology)
"Glass, sky light or roof, with frame, per kg",3.1018518518518516,ICE Database V5.0 (Circular Ecology)
